Algorithm,Seed,Timesteps,StateIndex,cov_00,cov_01,cov_10,cov_11
Multivariate CEM,4,10000,96,400.0,0.0,0.0,400.0
Multivariate CEM,4,20000,96,400.0,0.0,0.0,400.0
Multivariate CEM,4,30000,96,400.0,0.0,0.0,400.0
Multivariate CEM,4,40000,96,400.0,0.0,0.0,400.0
Multivariate CEM,4,50000,96,400.0,0.0,0.0,400.0
Multivariate CEM,5,10000,96,400.0,0.0,0.0,400.0
Multivariate CEM,5,20000,96,400.0,0.0,0.0,400.0
Multivariate CEM,5,30000,96,400.0,0.0,0.0,400.0
Multivariate CEM,5,40000,96,400.0,0.0,0.0,400.0
Multivariate CEM,5,50000,96,400.0,0.0,0.0,400.0
Multivariate CEM,2,10000,96,400.0,0.0,0.0,400.0
Multivariate CEM,2,20000,96,400.0,0.0,0.0,400.0
Multivariate CEM,2,30000,96,400.0,0.0,0.0,400.0
Multivariate CEM,2,40000,96,400.0,0.0,0.0,400.0
Multivariate CEM,2,50000,96,400.0,0.0,0.0,400.0
Multivariate CEM,1,10000,96,400.0,0.0,0.0,400.0
Multivariate CEM,1,20000,96,400.0,0.0,0.0,400.0
Multivariate CEM,1,30000,96,400.0,0.0,0.0,400.0
Multivariate CEM,1,40000,96,400.0,0.0,0.0,400.0
Multivariate CEM,1,50000,96,400.0,0.0,0.0,400.0
Multivariate CEM,3,10000,96,400.0,0.0,0.0,400.0
Multivariate CEM,3,20000,96,400.0,0.0,0.0,400.0
Multivariate CEM,3,30000,96,400.0,0.0,0.0,400.0
Multivariate CEM,3,40000,96,400.0,0.0,0.0,400.0
Multivariate CEM,3,50000,96,400.0,0.0,0.0,400.0
