Algorithm,Seed,Timesteps,EvalReward
Multivariate CEM,4,10000,5221490.8629559055
Multivariate CEM,4,20000,5234226.614975954
Multivariate CEM,4,30000,5238376.458022515
Multivariate CEM,4,40000,5232150.0550178895
Multivariate CEM,4,50000,5193002.273055431
Independent CEM,4,10000,5202865.157959788
Independent CEM,4,20000,5205771.459834367
Independent CEM,4,30000,5234460.304681063
Independent CEM,4,40000,5234331.385134799
Independent CEM,4,50000,5207812.158737308
Multivariate CEM,5,10000,5219400.9951057155
Multivariate CEM,5,20000,5216494.78546391
Multivariate CEM,5,30000,5229232.918699374
Multivariate CEM,5,40000,5250654.18596599
Multivariate CEM,5,50000,5229386.77341794
Independent CEM,5,10000,5224643.658662484
Independent CEM,5,20000,5239722.990098874
Independent CEM,5,30000,5223023.788040701
Independent CEM,5,40000,5198479.508669615
Independent CEM,5,50000,5197192.400512045
Multivariate CEM,2,10000,5180623.96949333
Multivariate CEM,2,20000,5195769.430460935
Multivariate CEM,2,30000,5226687.836877144
Multivariate CEM,2,40000,5242666.522242432
Multivariate CEM,2,50000,5249070.665779929
Independent CEM,2,10000,5237122.776753073
Independent CEM,2,20000,5245399.808137543
Independent CEM,2,30000,5237214.416768219
Independent CEM,2,40000,5229827.196580406
Independent CEM,2,50000,5253330.759545481
Multivariate CEM,1,10000,5194527.54454774
Multivariate CEM,1,20000,5218531.470540398
Multivariate CEM,1,30000,5236002.917448441
Multivariate CEM,1,40000,5230995.313051892
Multivariate CEM,1,50000,5211835.859464485
Independent CEM,1,10000,5201033.296712948
Independent CEM,1,20000,5197362.831261031
Independent CEM,1,30000,5205240.885693548
Independent CEM,1,40000,5209894.588610558
Independent CEM,1,50000,5212269.199670443
Multivariate CEM,3,10000,5216473.3485876005
Multivariate CEM,3,20000,5241708.229810554
Multivariate CEM,3,30000,5254307.08298259
Multivariate CEM,3,40000,5257912.303585126
Multivariate CEM,3,50000,5238955.744830832
Independent CEM,3,10000,5178076.8683211105
Independent CEM,3,20000,5191288.452612082
Independent CEM,3,30000,5200566.008938765
Independent CEM,3,40000,5182552.534604555
Independent CEM,3,50000,5189706.648571011
Q-learning,3,10000,4678390.311111112
Q-learning,3,20000,4549387.37777778
Q-learning,3,30000,4678249.577777779
Q-learning,3,40000,4652790.666666669
Q-learning,3,50000,4665890.266666668
Q-learning,1,10000,4747699.977777777
Q-learning,1,20000,4893371.6
Q-learning,1,30000,4545305.266666668
Q-learning,1,40000,4581730.644444445
Q-learning,1,50000,4687924.977777778
Q-learning,5,10000,4711957.444444445
Q-learning,5,20000,4675893.200000002
Q-learning,5,30000,4820979.000000002
Q-learning,5,40000,4552509.866666666
Q-learning,5,50000,4373784.8222222235
Q-learning,2,10000,4615251.911111111
Q-learning,2,20000,4584125.977777776
Q-learning,2,30000,4479433.333333333
Q-learning,2,40000,4792484.288888888
Q-learning,2,50000,4761019.133333333
Q-learning,4,10000,4722375.222222221
Q-learning,4,20000,4712010.822222222
Q-learning,4,30000,4662587.17777778
Q-learning,4,40000,4669584.022222224
Q-learning,4,50000,4454352.022222223
PPO,2,10000,4592097.6
PPO,2,20000,4593870.4
PPO,2,30000,4582974.4
PPO,2,40000,4593755.2
PPO,2,50000,4587893.6
PPO,3,10000,4596076.0
PPO,3,20000,4592436.8
PPO,3,30000,4582574.4
PPO,3,40000,4589128.8
PPO,3,50000,4592320.0
PPO,1,10000,4584842.4
PPO,1,20000,4583928.0
PPO,1,30000,4583561.6
PPO,1,40000,4592455.2
PPO,1,50000,4592622.4
PPO,4,10000,4592170.4
PPO,4,20000,4584963.2
PPO,4,30000,4587731.2
PPO,4,40000,4590257.6
PPO,4,50000,4587631.2
PPO,5,10000,4590295.2
PPO,5,20000,4586669.6
PPO,5,30000,4586635.2
PPO,5,40000,4585882.4
PPO,5,50000,4589086.4
