Algorithm,Seed,Episode,EpisodeHotelRevenue,EpisodeOTAProfit,EpisodeSystemProfit,EpisodeRevenue
PPO,1,1,4729008.0,212804.51206005042,4941812.512060051,4729008.0
PPO,1,2,4706432.0,211600.3659529262,4918032.365952926,4706432.0
PPO,1,3,4740016.0,213007.69782530924,4953023.697825309,4740016.0
PPO,1,4,4753328.0,210529.74386734216,4963857.743867342,4753328.0
PPO,1,5,4734496.0,211586.00550627394,4946082.005506274,4734496.0
PPO,1,6,4741872.0,210762.06216661676,4952634.062166616,4741872.0
PPO,1,7,4746576.0,207329.29736297842,4953905.297362979,4746576.0
PPO,1,8,4756848.0,211055.39575283203,4967903.395752832,4756848.0
PPO,1,9,4731216.0,212394.00840910999,4943610.00840911,4731216.0
PPO,1,10,4733584.0,208499.54373103488,4942083.543731035,4733584.0
PPO,1,11,4743312.0,208930.80503944997,4952242.80503945,4743312.0
PPO,1,12,4736896.0,210552.40334741567,4947448.403347416,4736896.0
PPO,1,13,4745328.0,211679.64268928755,4957007.642689288,4745328.0
PPO,1,14,4738960.0,210396.3102913518,4949356.310291352,4738960.0
PPO,1,15,4728384.0,213919.70869998317,4942303.708699984,4728384.0
PPO,1,16,4750160.0,215411.98666045867,4965571.986660459,4750160.0
PPO,1,17,4717904.0,213497.1131528377,4931401.113152837,4717904.0
PPO,1,18,4733392.0,211543.23799871342,4944935.237998714,4733392.0
PPO,1,19,4747200.0,213118.6309404035,4960318.630940404,4747200.0
PPO,1,20,4726000.0,213269.6828541056,4939269.682854106,4726000.0
PPO,1,21,4737248.0,214733.6570970964,4951981.657097097,4737248.0
PPO,1,22,4720848.0,212283.8961406635,4933131.896140664,4720848.0
PPO,1,23,4730288.0,210838.67251943093,4941126.6725194305,4730288.0
PPO,1,24,4745520.0,210750.85560735906,4956270.855607359,4745520.0
PPO,1,25,4742928.0,209589.0078280918,4952517.007828092,4742928.0
PPO,1,26,4726976.0,212415.86637453464,4939391.866374535,4726976.0
PPO,1,27,4710720.0,210068.1186138992,4920788.118613899,4710720.0
PPO,1,28,4746128.0,211575.11661075155,4957703.1166107515,4746128.0
PPO,1,29,4742400.0,210147.46556830054,4952547.4655683,4742400.0
PPO,1,30,4749808.0,212646.47175971128,4962454.471759711,4749808.0
PPO,1,31,4746576.0,212119.2983531354,4958695.298353136,4746576.0
PPO,1,32,4728864.0,210040.38290713402,4938904.382907134,4728864.0
PPO,1,33,4736336.0,210544.8688047873,4946880.868804787,4736336.0
PPO,1,34,4720384.0,210738.67823308302,4931122.678233083,4720384.0
PPO,1,35,4722480.0,212197.51033192608,4934677.510331926,4722480.0
PPO,1,36,4740288.0,210705.81927020222,4950993.819270202,4740288.0
PPO,1,37,4744096.0,213924.55079271947,4958020.550792719,4744096.0
PPO,1,38,4746832.0,210936.06500775408,4957768.065007754,4746832.0
PPO,1,39,4747424.0,212940.82758230405,4960364.827582304,4747424.0
PPO,1,40,4732736.0,210331.53931447866,4943067.539314479,4732736.0
PPO,1,41,4722816.0,210430.44054937465,4933246.440549375,4722816.0
PPO,1,42,4743552.0,212683.1596002615,4956235.159600262,4743552.0
PPO,1,43,4729552.0,209208.5818839287,4938760.581883929,4729552.0
PPO,1,44,4727760.0,213580.0184594934,4941340.018459493,4727760.0
PPO,1,45,4729008.0,211125.5954553205,4940133.595455321,4729008.0
PPO,1,46,4730640.0,211149.99815618785,4941789.998156188,4730640.0
PPO,1,47,4728064.0,210433.20977514287,4938497.209775143,4728064.0
PPO,1,48,4742832.0,210896.18883962056,4953728.188839621,4742832.0
PPO,1,49,4743152.0,210327.8860862259,4953479.8860862255,4743152.0
PPO,1,50,4725024.0,210253.6511916325,4935277.651191632,4725024.0
PPO,1,51,4744464.0,209756.0934193853,4954220.093419385,4744464.0
PPO,1,52,4734560.0,211684.85317503122,4946244.853175031,4734560.0
PPO,1,53,4744160.0,210845.6512544918,4955005.651254492,4744160.0
PPO,1,54,4729328.0,210706.52628492398,4940034.526284924,4729328.0
PPO,1,55,4739600.0,209692.54851778934,4949292.54851779,4739600.0
