episode,hotel_revenue,ota_profit,bookings_online,bookings_offline,total_subsidy,avg_subsidy_amount,avg_subsidy_ratio
1,3833647.445910992,200433.146382917,11609,23059,63045.304886086094,5.430726581625127,0.8
2,4061268.4505106146,215012.27142464492,12891,24885,72881.12867777125,5.653644300501997,0.0
3,4377857.939012247,209713.75966326887,13311,28378,85124.27978750561,6.395032663774744,0.6368791478245193
4,4458350.448202495,201135.38191542935,13128,29800,88060.932955357,6.707871187946146,0.0
5,4641422.737545714,200867.47170445404,13774,31436,102628.0085471996,7.450850046987048,0.0
6,4725672.353405518,195928.03848713226,13734,32523,105482.27459726918,7.680375316533361,0.0
7,4809393.460389107,182938.5603445849,13093,33904,108764.3223091406,8.307058910038998,0.0
8,4824944.84190146,192423.77516001108,13763,33934,107254.44536901473,7.792955414445596,0.3881942454978867
9,4881953.7817384275,186166.54337602027,13705,34473,115368.29443344392,8.417971137062672,0.3953707204139249
10,4937853.758836668,191971.3777862468,14035,35127,111169.59999697289,7.920883505306226,0.0
11,4913369.348825518,190681.48022441805,13972,35065,110758.97001760325,7.9272094200975705,0.6069149880157896
12,4996386.261549163,194310.98832933375,14083,35726,110911.8165474477,7.875581662106632,0.0
13,4991730.158843959,182182.85145891074,13763,36157,117290.18405759221,8.52213791016437,0.0
14,4987170.258708628,188023.06001277332,14027,35800,115976.76681958615,8.268109133783856,0.3724160691549146
15,5040633.520527443,184689.1055914203,13729,36604,115542.23177018357,8.41592481391096,0.8
16,5051566.65894032,180550.26246305896,13638,36874,116227.59250651271,8.522334103718485,0.8
17,5070118.847204014,174204.55819071198,13444,37189,119550.94194712577,8.892512789878442,0.0
18,5102667.694224062,175478.13644481532,13740,37459,123659.13693903656,8.999937186247202,0.8
19,5114366.784164286,173008.14901467503,13578,37795,122761.76697858525,9.041226025820094,0.8
20,5134285.280147341,168938.96809424285,13700,38233,128850.62308557447,9.405154969749962,0.8
21,5115371.804407801,164507.71787415707,13447,38334,128410.97226767938,9.549414164325082,0.8
22,5130306.026751315,167168.14543838007,13678,38409,130361.1746144847,9.53071900968597,0.8
23,5136508.832884054,162262.85367538105,13373,38652,129859.97021992145,9.710608705594964,0.6835368393457594
24,5134521.30717901,162379.09216849192,13614,38588,133224.8970081341,9.785874614965044,0.8
25,5161539.941753431,166580.09270489714,13966,38653,136825.36827219068,9.79703338623734,0.8
26,5126479.042920264,166601.32091626053,13902,38488,134059.17653172428,9.643157569538504,0.0
27,5142616.586221309,164803.08711283322,13894,38746,135184.73078220588,9.72972007932963,0.8
28,5160841.60944163,163653.98217660998,13896,39017,136108.93818853825,9.79482859733292,0.3727290069369788
29,5129439.28388429,167199.74967199814,14159,38619,137030.60572028902,9.677986137459497,0.22213093774387943
30,5143582.982296276,165135.1039746521,14097,38991,136977.75213905761,9.716801598854905,0.8
31,5175081.596192371,160669.78852949702,13989,39395,140804.79115765612,10.06539360623748,0.8
32,5164305.069302734,157510.70941960628,13704,39701,137377.4551216571,10.024624571049118,0.0
33,5171823.256566918,159620.8254672467,14032,39533,143095.04851739106,10.197765715321484,0.0
