episode,hotel_revenue,ota_profit,bookings_online,bookings_offline,total_subsidy,avg_subsidy_amount,avg_subsidy_ratio
1,4002995.6978501775,195900.5689240963,15486,22117,154533.46140827844,9.978913948616714,0.6863807225514079
2,4220676.542409964,205380.80069039259,16299,24158,156888.2667446123,9.625637569459004,0.7304950093182665
3,4443623.598490919,213915.51826591778,17717,25842,171562.85415769168,9.683516066923954,0.2778506300028237
4,4496887.128767277,214533.271390087,17747,26797,165285.62611012984,9.313440362322075,0.3705982660473394
5,4595479.269486896,221013.1962960306,18026,27769,162180.249074525,8.99701814459808,0.23751223624332438
6,4681959.633915372,232365.13828139633,18908,28523,161512.4810336253,8.54201824802334,0.6223764689957352
7,4706238.887424547,228018.50877260798,18271,29372,153195.97503225447,8.384651909159569,0.49026255020405807
8,4761500.144027253,231618.50113265053,18430,29894,150525.03097249553,8.167391805344304,0.2930212146434249
9,4821885.555903446,234339.70599988173,18676,30332,149554.55395603724,8.00784718119711,0.5730128671910564
10,4871092.240118886,240332.16878151015,18778,30913,147356.4064882287,7.847289726713639,0.37846844491077686
11,4870315.874250111,237065.36363843014,18730,31112,148703.8749109435,7.939341960007662,0.4387552533559229
12,4893860.493353844,243262.61209059105,18897,31442,144457.17497153545,7.644450175770516,0.4034667860077334
13,4910742.059950358,243120.12261517826,18797,31722,141450.21642628172,7.525148503818786,0.5778202939603695
14,4970935.013638891,235348.20957148945,17907,32950,133213.42052267704,7.4391813549269585,0.45771214363006374
15,4957905.305792638,229453.36806420356,17469,33368,131235.59666036477,7.512484782206466,0.6535474271979504
16,4974583.983631469,230652.6155164121,17332,33719,123843.89185840073,7.145389560258524,0.3399791574395298
17,5009763.230736971,224161.6950870025,16633,34562,117981.44990690205,7.093215289298506,0.359442497824254
18,4984011.484128277,235981.25649975118,17566,33674,121060.21371749404,6.891734812563705,0.3463543143679986
19,4996407.193077934,234866.90838140203,17259,34229,115253.52429146777,6.677879615937642,0.48660791742464754
20,5041155.236972424,235232.4815314713,17042,34953,111846.27626022376,6.56297830420278,0.2971415394960152
21,5043316.574533436,232612.4892479397,16767,35396,109283.8783812039,6.517795573519646,0.28009488511123465
22,5026576.845036496,226640.99405265832,16084,35747,102336.44789138445,6.362624216077124,0.41507274645058634
23,5033719.544449113,223383.37418377653,16130,35911,104990.89804360435,6.50904513599531,0.3609304945505706
