day,revenue_hotel,revenue_ota,bookings_direct,bookings_ota,avg_occupancy,inventory_day0,inventory_day1,inventory_day2,inventory_day3,inventory_day4
0,2195.4114,98.30835000000002,11,15,0.00733333333333334,100,99,98,100,99
1,3016.2000000000003,431.2,15,28,0.015333333333333346,98,97,100,99,99
2,3562.4000000000005,431.2,22,28,0.02666666666666669,97,98,98,98,94
3,2458.4,354.2,12,23,0.03200000000000003,98,96,98,94,98
4,2788.3999999999996,400.40000000000003,14,26,0.04000000000000002,95,98,93,98,96
5,2764.0773,124.52391000000001,14,19,0.041333333333333354,98,93,98,94,97
6,2342.9448,409.61812499999996,7,25,0.04800000000000003,93,98,94,96,95
7,2839.1679000000004,137.63169000000002,13,21,0.05600000000000002,98,94,95,95,94
8,2282.8,123.2,9,20,0.06266666666666668,94,95,94,93,99
9,3070.0,462.0,14,30,0.06933333333333333,94,93,91,98,91
10,2673.2,354.2,15,23,0.07666666666666666,93,90,98,90,90
11,2521.0,446.6,8,29,0.08399999999999999,89,98,88,90,86
12,3330.6624,176.95503000000002,13,27,0.0873333333333333,98,88,90,86,89
13,3368.2076999999995,606.234825,9,37,0.09666666666666668,88,88,86,88,90
14,2609.68725,111.41613000000001,14,17,0.09933333333333332,88,86,88,89,89
15,2335.4000000000005,110.88,12,18,0.10400000000000001,85,88,88,89,86
16,2946.8,400.40000000000003,16,26,0.1073333333333333,88,86,89,86,87
17,3004.0,354.2,19,23,0.11600000000000002,85,87,86,86,82
18,2678.6,462.0,9,30,0.11866666666666666,87,86,86,81,87
19,3260.3004,131.07780000000002,19,20,0.126,86,86,81,85,93
20,2810.9380499999997,344.079225,16,21,0.132,86,81,83,92,88
21,2099.4201,65.53890000000001,15,10,0.13600000000000004,80,83,91,87,84
22,3086.600000000001,135.52,17,22,0.13733333333333334,83,90,87,83,87
23,3202.4,462.0,16,30,0.14333333333333334,90,86,82,87,79
24,3228.8,554.4,11,36,0.15333333333333335,86,81,87,79,88
25,2608.2,369.6,13,24,0.16266666666666668,81,84,78,85,86
26,2846.1663000000003,131.07780000000002,14,20,0.16466666666666668,84,78,85,86,86
27,2371.0329,376.848675,9,23,0.17133333333333328,78,84,86,86,78
28,2502.0634500000006,131.07780000000002,10,20,0.17133333333333337,83,85,85,76,83
29,2128.6000000000004,110.88,9,18,0.1706666666666667,85,84,76,83,77
30,3144.6000000000004,400.40000000000003,19,26,0.18533333333333335,84,75,81,75,80
31,5896.95,812.1750000000001,30,51,0.1993333333333333,74,81,72,80,77
32,4458.15,780.325,14,49,0.2013333333333333,80,72,80,76,75
33,4686.179999999999,201.81000000000003,26,31,0.21266666666666664,72,77,75,75,77
34,3977.1899999999996,585.9,18,36,0.21399999999999997,76,74,75,77,75
35,5307.089999999997,273.42,22,42,0.21533333333333332,74,73,73,75,72
36,4777.6500000000015,222.94999999999996,24,35,0.21733333333333335,71,73,75,71,81
37,6863.35,1003.2750000000001,32,63,0.228,72,71,70,79,75
38,4905.0,573.3000000000001,31,36,0.23933333333333334,70,69,76,75,72
39,5997.0,844.0250000000001,30,53,0.24866666666666667,68,74,72,70,74
40,5234.879999999998,247.38000000000002,25,38,0.2533333333333333,73,72,69,71,70
41,5451.72,813.7499999999999,24,50,0.2613333333333333,71,68,70,70,76
42,3069.21,117.18,19,18,0.2673333333333333,67,70,69,76,66
43,5307.2,812.1750000000001,23,51,0.26733333333333337,69,69,76,66,63
44,4211.549999999997,363.09,16,38,0.27133333333333337,68,76,65,62,68
45,5347.249999999997,410.865,26,43,0.2833333333333333,74,63,60,67,78
46,4359.0,684.775,18,43,0.2906666666666667,63,60,65,77,66
47,4724.129999999998,234.36,21,36,0.29066666666666663,60,63,77,62,69
48,4459.560000000001,341.77500000000003,21,35,0.2859999999999999,62,75,61,69,67
49,4682.280000000001,380.83500000000004,20,39,0.28933333333333333,75,61,69,65,71
50,4477.299999999999,407.67999999999995,27,32,0.3026666666666666,60,68,63,70,68
51,5335.4,891.8000000000001,19,56,0.30666666666666664,68,59,68,66,64
52,4759.4,668.85,24,42,0.3133333333333333,59,66,64,64,59
53,4507.299999999997,305.76,26,32,0.3166666666666666,64,62,62,59,72
54,4519.049999999997,253.89000000000001,15,39,0.3153333333333334,60,62,58,71,64
55,3352.379999999999,273.42,14,28,0.31200000000000006,62,57,70,62,65
56,5593.410000000001,361.305,32,37,0.31799999999999995,56,68,62,62,61
57,3990.399999999998,353.53499999999997,14,37,0.31266666666666676,68,60,59,61,61
58,5588.4,828.1,26,52,0.33000000000000007,60,58,60,61,69
59,5064.599999999998,609.8399999999999,18,44,0.34199999999999997,58,58,61,67,68
60,4419.699999999999,457.38,20,33,0.3466666666666666,58,59,64,66,62
61,6606.4000000000015,773.2620000000002,25,57,0.3466666666666667,58,64,65,61,58
62,5302.644999999996,437.50350000000003,21,43,0.34733333333333327,64,62,59,55,63
63,5017.014999999998,366.282,24,36,0.3546666666666667,62,58,53,61,70
64,6519.199999999995,790.02,23,57,0.37,57,53,60,66,58
65,5331.199999999997,637.56,19,46,0.374,53,59,63,57,64
66,4805.099999999999,471.24,24,34,0.37399999999999994,59,63,54,63,54
67,5733.599999999998,651.42,23,47,0.38733333333333336,63,54,62,52,60
68,5417.609999999997,386.63100000000003,27,38,0.4020000000000001,52,60,50,60,56
69,6359.754999999997,406.98,36,40,0.4053333333333334,60,50,59,56,52
70,5608.329999999996,417.1545,26,41,0.4053333333333333,49,59,54,51,58
71,5690.499999999998,609.8399999999999,25,44,0.404,59,54,51,58,61
72,4700.449999999998,554.4,17,40,0.4066666666666667,53,48,58,58,64
73,6424.449999999996,748.4399999999999,24,54,0.40599999999999997,47,57,58,62,56
74,5764.699999999997,637.56,24,46,0.4086666666666667,54,56,61,53,47
75,6198.969999999994,559.5975,20,55,0.4160000000000001,56,58,52,45,55
76,5913.114999999994,508.725,21,50,0.41533333333333344,58,51,43,53,55
77,6905.249999999994,569.772,27,56,0.42000000000000004,51,41,51,55,41
78,6433.0,526.68,39,38,0.4326666666666667,41,48,54,40,43
