state,visit_count,best_action,best_subsidy,best_q_value,avg_q_value,q_action_0,q_action_1,q_action_2,q_action_3,q_action_4
0,2198.0,1,0.2,0.07289879105696385,0.019041390258804254,0.006450707658886914,0.07289879105696385,0.00577234056005669,0.005512667263655174,0.004572444754458631
1,39.0,0,0.0,0.03130482700169741,0.006342765836378663,0.03130482700169741,7.194063579068279e-05,5.537084542313269e-05,4.202897817538715e-05,0.00023966172080669643
3,2200.0,0,0.0,0.0735466188640629,0.018453963394186517,0.0735466188640629,0.005155521554444499,0.005019665956672571,0.004874433105318313,0.0036735774904343163
4,29.0,4,0.8,0.020581862468737118,0.004116372493747423,0.0,0.0,0.0,0.0,0.020581862468737118
6,5324.0,0,0.0,0.07295726792421087,0.02258631247156561,0.07295726792421087,0.010667896626777487,0.010172920939707583,0.010122764058309726,0.009010712808822395
7,20.0,2,0.4,0.015913892995491598,0.0032059405329588355,0.00011580966930257857,0.0,0.015913892995491598,0.0,0.0
9,3418.0,0,0.0,0.07229905972656728,0.01851385330713242,0.07229905972656728,0.005640154996217358,0.005397110869741189,0.0049393110831159655,0.004293629860020316
10,23.0,0,0.0,0.017252023751833052,0.0034504047503666107,0.017252023751833052,0.0,0.0,0.0,0.0
12,100.0,2,0.4,0.013392593031408958,0.0030756379003157018,0.0004601346630421245,0.00043909807793728506,0.013392593031408958,0.00038851695626489907,0.0006978467729252405
15,46.0,2,0.4,0.010598853872051062,0.0022112589990094748,5.4796789527603846e-05,0.0001680452098806856,0.010598853872051062,0.00019490902011416806,3.9690103473853964e-05
18,4826.0,0,0.0,0.07503372411906002,0.021104829174948606,0.07503372411906002,0.00843259374046755,0.008253455780333952,0.00693395322003396,0.006870419014847544
19,5088.0,0,0.0,0.1435095573314251,0.0447961761209294,0.1435095573314251,0.021074864332547447,0.02054674383268639,0.019638998910633008,0.01921071619735505
20,308.0,0,0.0,0.11906250397489772,0.02459012854368602,0.11906250397489772,0.0008812758271139181,0.001752736065063034,0.0008377544911555311,0.0004163723601998987
21,3336.0,1,0.2,0.06784011243171055,0.017168386404692565,0.005319947671523124,0.06784011243171055,0.004265160566520671,0.004157693536927792,0.004259017816780687
22,4825.0,1,0.2,0.14295650877319635,0.04368879691162947,0.021085309932155058,0.14295650877319635,0.019483559200002092,0.0177458872248998,0.01717271942789406
23,267.0,1,0.2,0.10800678072233358,0.022797364912765065,0.0007866322078683983,0.10800678072233358,0.0019253538303219807,0.0023361875165352837,0.0009318702867660859
24,1763.0,0,0.0,0.07310857665550895,0.01802730358885164,0.07310857665550895,0.004248075031766437,0.0042627531650561296,0.005038039253765173,0.0034790738381615107
25,5400.0,0,0.0,0.1472007817146919,0.046672489282699854,0.1472007817146919,0.02314000014426989,0.021706201963190078,0.021182456114659336,0.020133006476688094
26,240.0,2,0.4,0.09898588334347005,0.021300444152717223,0.0031004360424763,0.0013241220888183182,0.09898588334347005,0.0020681304339465233,0.001023648854874908
27,1894.0,1,0.2,0.06519975637439357,0.015808573095187455,0.0037466697422856906,0.06519975637439357,0.0035316481369658402,0.0033684495552593306,0.0031963416670328327
28,3048.0,0,0.0,0.140639692335917,0.038483955365545414,0.140639692335917,0.013300686614939574,0.013135867140424796,0.012717130239836023,0.012626400496609663
29,226.0,0,0.0,0.10571751663957284,0.02159738620504032,0.10571751663957284,0.0005225926760974435,0.0004273783362886541,7.385452282114402e-05,0.0012455888504215105
30,44.0,0,0.0,0.005695476964435869,0.0012769305111074534,0.005695476964435869,0.00024071346125946382,0.00021331929440515678,0.00018918297344609612,4.595986199068105e-05
31,38.0,0,0.0,0.006336216661306027,0.001522783625231331,0.006336216661306027,0.00037212859765182766,0.0003024449439324159,0.00024648909422124736,0.0003566388290451373
32,2.0,0,0.0,0.001843668392915849,0.0003687336785831698,0.001843668392915849,0.0,0.0,0.0,0.0
33,20.0,1,0.2,0.001415227429834137,0.00034826332382950517,0.00012741396338436493,0.001415227429834137,0.000173022118781267,2.107650967436165e-05,4.576597473395353e-06
34,21.0,0,0.0,0.003517475907205677,0.0008239056386832044,0.003517475907205677,0.0001332657741227874,0.00013226390803830511,0.0002560569739085833,8.04656301406691e-05
36,4347.0,0,0.0,0.06861938233910787,0.019912820081363698,0.06861938233910787,0.008312452774867673,0.00819598208099664,0.007821636547473308,0.006614646664372982
37,7643.0,0,0.0,0.15012211409919932,0.05518723576856912,0.15012211409919932,0.03446504012813096,0.032104094168036904,0.029979383628180242,0.02926554681929818
38,12758.0,0,0.0,0.13376161587558047,0.061858157205125185,0.13376161587558047,0.04950205494789885,0.048264952657324334,0.03902581365619274,0.038736348888629556
39,2838.0,0,0.0,0.06594196906800541,0.01711688063049075,0.06594196906800541,0.005560545251355381,0.005449452316731374,0.00445671146690889,0.004175725049452715
40,4351.0,0,0.0,0.14640850715358147,0.04315996885538669,0.14640850715358147,0.018400713516754243,0.01784977782322724,0.0168103719889603,0.01633047379441021
41,6117.0,0,0.0,0.1428420540350498,0.0539336382113493,0.1428420540350498,0.0359846281443241,0.03196902273439889,0.03140813321095778,0.02746435293201592
42,1195.0,0,0.0,0.06775620143884695,0.016100042166533525,0.06775620143884695,0.003622266519010084,0.0036584196067509936,0.002760094485900162,0.0027032287821594425
43,2617.0,0,0.0,0.14284081944764082,0.03868631934293897,0.14284081944764082,0.013863281914960605,0.013446924414780804,0.012715040905913603,0.010565530031399043
44,6135.0,0,0.0,0.13394748693769384,0.04893872749748131,0.13394748693769384,0.029259117127611995,0.02875402763921206,0.027304108748054712,0.025428897034833926
